idPrestamo,target,monthly_debt_capacity,var_employment_time_in_months,approved_amount,approved_term,approved_interest_amount,var_net_income,person_gender,credit_history_marital_status,var_max_sbs_qual_12m,person_degree_type_desc,default_request_term,default_request_amount
LIBDISP7413042958,0,296.93,10,"1,500",6,281.39,1775.783333,MALE,S,CPP,Universitaria,0,0
LIBDISP8534506068,0,"1,205.86",,"1,500",4,148.43,5189.491667,FEMALE,C,NORMAL,Universitaria,0,0
LIBDISP4315711290,1,538.33,79,"1,000",3,88.14,2153.328333,MALE,S,NORMAL,Secundaria,1,0
LIBDISP8598456371,0,963.69,5,"1,500",6,221.53,3970.356667,MALE,S,NORMAL,Carrera TÃƒÂ©cnica,0,0
LIBDISP9177223098,1,370.24,12,"3,000",12,920.18,1358,MALE,S,NORMAL,Secundaria,0,0
LIBDISP7083978862,0,420.82,19,"1,000",6,152.32,2005,MALE,S,NORMAL,Universitaria,1,0
LIBDISP1335436564,1,380,15,"1,900",6,276.9,5474.158333,MALE,S,NORMAL,Universitaria,1,0
LIBDISP9794514744,0,290.61,73,"1,400",6,337.29,1433.25,MALE,S,CPP,Secundaria,0,0
LIBDISP0226795311,0,394.19,6,"1,000",3,84.99,1576.75,MALE,S,NORMAL,Universitaria,0,0
LIBDISP6542115938,0,544.69,,800,6,133.15,1818.775,MALE,S,NORMAL,Universitaria,1,0
LIBDISP4140521449,0,570.93,4,"2,900",6,508.3,2342.491667,MALE,S,NORMAL,Universitaria,0,0
LIBDISP3021745290,1,381.47,56,"1,900",6,276.78,2025.916667,FEMALE,S,NORMAL,Carrera TÃƒÂ©cnica,1,0
LIBDISP2232389865,0,467.89,77,"1,000",3,84.99,1975.108333,MALE,S,NORMAL,Carrera TÃƒÂ©cnica,1,0
LIBDISP6897986152,0,307.14,23,"1,500",6,221.43,2600.441667,MALE,C,CPP,Universitaria,1,0
LIBDISP9618360728,0,942.41,2,"2,400",6,346.12,4251.496667,FEMALE,S,NORMAL,Universitaria,1,0
LIBDISP9707363067,1,415.99,,"2,100",6,307.64,2397.99,MALE,S,CPP,Universitaria,0,0
LIBDISP2373948243,0,578.78,47,"1,500",6,221.53,2315.133333,MALE,S,NORMAL,Carrera TÃƒÂ©cnica,1,0
LIBDISP4798069023,0,567.11,12,"1,400",3,120.11,3130.688333,MALE,S,NORMAL,Carrera TÃƒÂ©cnica,0,0
LIBDISP4756228724,1,699.82,16,"1,500",3,130.42,2922.833333,MALE,S,NORMAL,Universitaria,0,0
LIBDISP3992184656,1,542.86,77,"1,000",3,88.14,2302.626667,FEMALE,S,NORMAL,Carrera TÃƒÂ©cnica,1,0
LIBDISP0661231268,0,448.86,73,"2,000",6,375.18,1944.623333,MALE,S,NORMAL,Carrera TÃƒÂ©cnica,1,0
LIBDISP9576848758,0,445.52,0,"1,000",3,91.9,1986.833333,MALE,S,NORMAL,Universitaria,1,0
LIBDISP3225097028,0,871.9,19,"1,800",6,263.06,3513.166667,MALE,S,NORMAL,Carrera TÃƒÂ©cnica,1,0
LIBDISP9461512130,0,632.01,6,500,1,22.82,2546.506667,FEMALE,S,NORMAL,Universitaria,0,0
LIBDISP5627194123,1,502.08,17,"4,700",12,"1,303.73",1750,MALE,S,NORMAL,Universitaria,0,0
LIBDISP2773330989,0,296.69,19,"1,000",6,240.92,1252.125,MALE,S,NORMAL,Carrera TÃƒÂ©cnica,1,0
LIBDISP0164738627,1,219.6,15,"1,000",6,240.92,1124.375,MALE,S,NORMAL,Universitaria,1,0
LIBDISP9623230350,1,469.83,76,"2,300",6,332.28,2530.97,FEMALE,S,NORMAL,Carrera TÃƒÂ©cnica,0,0
LIBDISP8451660987,0,342.96,77,"1,500",6,221.53,1531.25,MALE,C,CPP,Secundaria,1,0
LIBDISP4188144510,0,607.92,7,"2,500",6,360.78,2823.216667,MALE,S,NORMAL,Universitaria,1,0
LIBDISP6892566371,0,562.82,49,"1,000",3,84.99,2366.723333,FEMALE,S,NORMAL,Carrera TÃƒÂ©cnica,0,0
LIBDISP6321200365,0,451.8,20,"1,500",6,221.53,2075.161667,FEMALE,S,NORMAL,Carrera TÃƒÂ©cnica,1,0
LIBDISP5948567357,1,346.83,,"1,500",6,219.75,1970.418333,MALE,S,NORMAL,Carrera TÃƒÂ©cnica,1,0
LIBDISP1326661142,1,273,26,"1,300",6,313.2,1092,FEMALE,C,NORMAL,Carrera TÃƒÂ©cnica,0,0
LIBDISP1953178035,0,589.53,79,"1,500",6,221.53,2358.125,FEMALE,S,NORMAL,Secundaria,1,0
LIBDISP8775092142,1,276.05,72,"1,300",6,313.2,1365,MALE,S,NORMAL,Universitaria,1,0
LIBDISP6394217267,0,544.59,58,"1,000",3,88.14,2178.341667,MALE,S,NORMAL,Universitaria,0,0
LIBDISP8859050710,0,194.04,,900,6,166.08,1689.625,FEMALE,C,CPP,Carrera TÃƒÂ©cnica,0,0
LIBDISP0622837260,0,343.5,71,"1,700",6,318.91,2136.913333,MALE,C,CPP,Carrera TÃƒÂ©cnica,0,0
LIBDISP1953006045,0,375.4,,800,3,74.44,1818.775,MALE,S,NORMAL,Carrera TÃƒÂ©cnica,0,0
LIBDISP9181969428,1,220,41,"1,000",6,152.32,1649.375,MALE,S,NORMAL,Universitaria,1,0
LIBDISP5426460686,1,322.17,23,"1,500",6,281.39,1818.775,MALE,C,CPP,Universitaria,1,0
LIBDISP8777698174,1,307.75,74,"1,500",6,221.43,1400.875,MALE,S,CPP,Universitaria,1,0
LIBDISP7246278692,0,704.22,56,"1,000",6,144.32,3694.991667,FEMALE,C,NORMAL,Universitaria,1,0
LIBDISP3727651289,0,591.3,65,"3,000",6,429.99,3990.333333,MALE,S,NORMAL,Universitaria,1,0
LIBDISP2997241101,0,230,7,"1,100",6,265.01,1151.5,FEMALE,S,CPP,Carrera TÃƒÂ©cnica,0,0
LIBDISP5029372254,0,369.64,12,"1,500",6,221.53,1833.33,MALE,S,NORMAL,Secundaria,0,0
LIBDISP7680250633,0,331.72,10,"1,000",6,152.32,2053.275,MALE,C,NORMAL,Universitaria,0,0
LIBDISP0062245251,0,299.23,22,"2,700",12,828.16,1109.5,MALE,S,NORMAL,Secundaria,0,0
LIBDISP3455930331,0,460.85,50,"1,000",6,240.92,2088.45,MALE,S,CPP,Universitaria,1,0
LIBDISP2291547018,0,380,5,"1,900",6,276.9,3421,FEMALE,S,CPP,Universitaria,1,0
LIBDISP8269964593,0,"1,111.09",77,"3,000",6,429.99,4444.376667,MALE,S,NORMAL,Secundaria,1,0
LIBDISP6218207316,1,"1,226.21",55,"3,000",6,429.99,4904.825,FEMALE,S,NORMAL,Carrera TÃƒÂ©cnica,1,0
LIBDISP0426126697,0,242.52,11,"2,200",12,631.37,2698.931667,MALE,S,NORMAL,Carrera TÃƒÂ©cnica,0,0
LIBDISP3509743650,0,704.4,23,"3,000",6,429.8,2820.871667,FEMALE,C,NORMAL,Carrera TÃƒÂ©cnica,0,0
LIBDISP4914849579,0,540.76,62,"1,000",3,84.99,2251.818333,MALE,S,NORMAL,Universitaria,0,0
LIBDISP8353749595,0,330.34,65,"1,500",6,221.53,2491.79,MALE,S,NORMAL,Secundaria,1,0
LIBDISP5688191847,1,413.1,53,"1,000",3,88.99,2521.42,FEMALE,S,NORMAL,Carrera TÃƒÂ©cnica,1,0
LIBDISP1245260425,0,375.27,15,"1,500",6,221.53,1597.75,MALE,S,NORMAL,Secundaria,0,0
LIBDISP2658632233,0,858.27,76,"2,500",6,360.78,3433.098333,MALE,C,NORMAL,Carrera TÃƒÂ©cnica,0,0
LIBDISP4544297455,0,289.11,8,"1,300",6,313.2,1915.701667,MALE,S,CPP,Universitaria,0,0
LIBDISP3586701596,0,500,6,"2,500",6,344.9,2143.166667,MALE,S,CPP,Universitaria,1,0
LIBDISP4825144899,0,"2,266.66",13,"12,200",6,"1,295.14",6476.166667,MALE,S,NORMAL,Postgrado,1,0
LIBDISP6725634904,0,175,50,"1,500",12,474.65,2509.768333,MALE,S,DEFICIENTE,Universitaria,0,0
LIBDISP5373494831,0,629.51,44,"2,500",5,307.36,2892.785,FEMALE,S,NORMAL,Universitaria,0,0
LIBDISP5548456855,0,450.97,49,"2,200",6,412.7,2662.193333,MALE,S,NORMAL,Universitaria,0,0
LIBDISP1259504858,0,330,,500,2,34.87,2997,MALE,S,NORMAL,Universitaria,0,0
LIBDISP7086145704,0,867.08,73,"3,000",6,525.83,3531.308333,MALE,C,NORMAL,Universitaria,0,0
LIBDISP1450977411,1,"1,053.33",75,"3,000",6,429.99,5112.323333,FEMALE,S,NORMAL,Carrera TÃƒÂ©cnica,0,0
LIBDISP6816342753,0,358.98,82,900,3,78.1,2198,FEMALE,C,CPP,Carrera TÃƒÂ©cnica,1,0
LIBDISP4255649730,0,425.51,6,"1,100",3,87.5,3278.666667,MALE,S,NORMAL,Universitaria,1,0
LIBDISP0880064726,1,358.75,11,"3,200",12,981.52,1225,MALE,S,NORMAL,Secundaria,0,0
LIBDISP4138391594,0,657.93,7,"1,000",6,152.32,2631.708333,MALE,S,NORMAL,Universitaria,1,0
LIBDISP1432005013,1,279.32,21,"2,500",12,766.82,1050,FEMALE,C,NORMAL,Universitaria,0,0
LIBDISP1983325357,0,597.71,12,"1,000",3,84.99,2390.83,FEMALE,S,NORMAL,Carrera TÃƒÂ©cnica,1,0
LIBDISP8772439038,0,555.9,,"5,000",12,"1,241.66",2139.258333,MALE,S,NORMAL,Postgrado,0,0
LIBDISP4157691441,0,417.37,25,"1,000",3,88.99,2298.718333,FEMALE,S,NORMAL,Universitaria,1,0
LIBDISP4234446435,0,351.19,5,"1,700",6,237.07,3634.5,FEMALE,S,NORMAL,Universitaria,1,0
LIBDISP5190966067,0,721,12,"1,200",3,104.92,2400,MALE,S,NORMAL,Carrera TÃƒÂ©cnica,0,0
LIBDISP4740479900,1,250,0,"1,000",6,152.32,0,MALE,S,NORMAL,Secundaria,1,0
LIBDISP8607569434,0,"1,351.64",,"5,300",12,999.46,13931.625,MALE,C,NORMAL,Carrera TÃƒÂ©cnica,0,0
LIBDISP7110795339,0,400,76,"2,000",6,277.51,3100.75,MALE,S,NORMAL,Universitaria,1,0
LIBDISP3790786149,0,516.25,36,"1,500",6,221.53,2065,FEMALE,S,NORMAL,Carrera TÃƒÂ©cnica,1,0
LIBDISP2277557870,0,338.9,12,"1,200",6,289.11,1470,MALE,S,NORMAL,Universitaria,0,0
LIBDISP4848774794,0,756.68,6,"1,600",8,341.07,2522.275,FEMALE,S,NORMAL,Universitaria,0,0
LIBDISP5313268663,0,597.35,79,"1,000",3,88.14,2389.391667,MALE,C,NORMAL,Carrera TÃƒÂ©cnica,1,0
